ZIP Code,City,Adresse d'arrivée,Distance Km
4960,"4960 MALMEDY, Belgique",BRUXELLES,"151,62"
6811,"6811 Les Bulles, Belgique",BRUXELLES,"152,28"
6856,"6856 Fays-Les-Veneurs, Belgique",BRUXELLES,"152,39"
6836,"6836 Dohan, Belgique",BRUXELLES,"152,415"
6660,"6660 HOUFFALIZE, Belgique",BRUXELLES,"152,61"
6700,"6700 ARLON, Belgique",BRUXELLES,"155,7"
6642,"6642 Juseret, Belgique",BRUXELLES,"156,106"
6661,"6661 Tailles, Belgique",BRUXELLES,"156,11"
6860,"6860 Assenois, Belgique",BRUXELLES,"156,617"
6670,"6670 GOUVY, Belgique",BRUXELLES,"156,88"
4750,"4750 Elsenborn, Belgique",BRUXELLES,157
6982,"6982 Samrée, Belgique",BRUXELLES,"157,74"
6630,"6630 MARTELANGE, Belgique",BRUXELLES,"159,3"
1600,"1600 Sint-Laureins-Berchem, Belgique",BRUXELLES,"16,05"
1880,"1880 Nieuwenrode, Belgique",BRUXELLES,"16,07"
1804,"1804 Cargovil, Belgique",BRUXELLES,"16,25"
1742,"1742 Sint-Katherina-Lombeek, Belgique",BRUXELLES,"16,27"
1820,"1820 Perk, Belgique",BRUXELLES,"16,57"
1750,"1750 Gaasbeek, Belgique",BRUXELLES,"16,7"
